signal_id,location_id,date,syndrome,patient_count
opd_000054,loc_001,2026-07-14,diarrhea,13
opd_000055,loc_001,2026-07-14,cough,4
opd_000056,loc_001,2026-07-14,rash,3
opd_000057,loc_001,2026-07-15,fever,18
opd_000058,loc_001,2026-07-15,diarrhea,10
opd_000059,loc_001,2026-07-15,cough,3
opd_000060,loc_001,2026-07-15,rash,3
opd_000061,loc_001,2026-07-16,fever,16
opd_000062,loc_001,2026-07-16,diarrhea,12
opd_000063,loc_001,2026-07-16,cough,5
opd_000064,loc_001,2026-07-16,rash,2
opd_000065,loc_001,2026-07-17,fever,17
opd_000066,loc_001,2026-07-17,diarrhea,10
opd_000067,loc_001,2026-07-17,cough,4
opd_000068,loc_001,2026-07-17,rash,3
opd_000069,loc_001,2026-07-18,fever,18
opd_000070,loc_001,2026-07-18,diarrhea,13
opd_000071,loc_001,2026-07-18,cough,6
opd_000072,loc_001,2026-07-18,rash,3
opd_000073,loc_001,2026-07-19,fever,14
opd_000074,loc_001,2026-07-19,diarrhea,11
opd_000075,loc_001,2026-07-19,cough,4
opd_000076,loc_001,2026-07-19,rash,0
opd_000077,loc_001,2026-07-20,fever,17
opd_000078,loc_001,2026-07-20,diarrhea,11
opd_000079,loc_001,2026-07-20,cough,2
opd_000080,loc_001,2026-07-20,rash,3
opd_000081,loc_001,2026-07-21,fever,16
opd_000082,loc_001,2026-07-21,diarrhea,13
opd_000083,loc_001,2026-07-21,cough,2
opd_000084,loc_001,2026-07-21,rash,2
opd_000085,loc_001,2026-07-22,fever,17
opd_000086,loc_001,2026-07-22,diarrhea,14
opd_000087,loc_001,2026-07-22,cough,4
opd_000088,loc_001,2026-07-22,rash,2
opd_000089,loc_001,2026-07-23,fever,16
opd_000090,loc_001,2026-07-23,diarrhea,13
opd_000091,loc_001,2026-07-23,cough,4
opd_000092,loc_001,2026-07-23,rash,3
opd_000093,loc_001,2026-07-24,fever,18
opd_000094,loc_001,2026-07-24,diarrhea,11
opd_000095,loc_001,2026-07-24,cough,4
opd_000096,loc_001,2026-07-24,rash,2
opd_000097,loc_001,2026-07-25,fever,14
opd_000098,loc_001,2026-07-25,diarrhea,12
opd_000099,loc_001,2026-07-25,cough,5
opd_000100,loc_001,2026-07-25,rash,2
opd_000101,loc_001,2026-07-26,fever,17
opd_000102,loc_001,2026-07-26,diarrhea,14
opd_000103,loc_001,2026-07-26,cough,6
opd_000104,loc_001,2026-07-26,rash,2
opd_000105,loc_001,2026-07-27,fever,17
opd_000106,loc_001,2026-07-27,diarrhea,12
opd_000107,loc_001,2026-07-27,cough,4
opd_000108,loc_001,2026-07-27,rash,1
opd_000109,loc_001,2026-07-28,fever,16
opd_000110,loc_001,2026-07-28,diarrhea,12
opd_000111,loc_001,2026-07-28,cough,4
opd_000112,loc_001,2026-07-28,rash,1
opd_000113,loc_001,2026-07-29,fever,17
opd_000114,loc_001,2026-07-29,diarrhea,14
opd_000115,loc_001,2026-07-29,cough,4
opd_000116,loc_001,2026-07-29,rash,0
opd_000117,loc_001,2026-07-30,fever,17
opd_000118,loc_001,2026-07-30,diarrhea,11
opd_000119,loc_001,2026-07-30,cough,2
opd_000120,loc_001,2026-07-30,rash,1
opd_000121,loc_001,2026-07-31,fever,18
opd_000122,loc_001,2026-07-31,diarrhea,11
opd_000123,loc_001,2026-07-31,cough,6
opd_000124,loc_001,2026-07-31,rash,2
opd_000125,loc_001,2026-08-01,fever,14
opd_000126,loc_001,2026-08-01,diarrhea,11
opd_000127,loc_001,2026-08-01,cough,2
opd_000128,loc_001,2026-08-01,rash,3
opd_000129,loc_001,2026-08-02,fever,14
opd_000130,loc_001,2026-08-02,diarrhea,14
opd_000131,loc_001,2026-08-02,cough,4
opd_000132,loc_001,2026-08-02,rash,0
opd_000133,loc_001,2026-08-03,fever,18
opd_000134,loc_001,2026-08-03,diarrhea,14
opd_000135,loc_001,2026-08-03,cough,3
opd_000136,loc_001,2026-08-03,rash,0
opd_000137,loc_001,2026-08-04,fever,17
opd_000138,loc_001,2026-08-04,diarrhea,13
opd_000139,loc_001,2026-08-04,cough,6
opd_000140,loc_001,2026-08-04,rash,0
opd_000141,loc_001,2026-08-05,fever,15
opd_000142,loc_001,2026-08-05,diarrhea,12
opd_000143,loc_001,2026-08-05,cough,2
opd_000144,loc_001,2026-08-05,rash,3
opd_000145,loc_001,2026-08-06,fever,18
opd_000146,loc_001,2026-08-06,diarrhea,11
opd_000147,loc_001,2026-08-06,cough,2
opd_000148,loc_001,2026-08-06,rash,1
opd_000149,loc_001,2026-08-07,fever,16
opd_000150,loc_001,2026-08-07,diarrhea,10
opd_000151,loc_001,2026-08-07,cough,2
opd_000152,loc_001,2026-08-07,rash,1
opd_000153,loc_001,2026-08-08,fever,16
opd_000154,loc_001,2026-08-08,diarrhea,12
opd_000155,loc_001,2026-08-08,cough,3
opd_000156,loc_001,2026-08-08,rash,0
opd_000157,loc_001,2026-08-09,fever,15
opd_000158,loc_001,2026-08-09,diarrhea,12
opd_000159,loc_001,2026-08-09,cough,6
opd_000160,loc_001,2026-08-09,rash,0
opd_000161,loc_001,2026-08-10,fever,16
opd_000162,loc_001,2026-08-10,diarrhea,12
opd_000163,loc_001,2026-08-10,cough,3
opd_000164,loc_001,2026-08-10,rash,2
opd_000165,loc_001,2026-08-11,fever,18
opd_000166,loc_001,2026-08-11,diarrhea,13
opd_000167,loc_001,2026-08-11,cough,6
opd_000168,loc_001,2026-08-11,rash,0
opd_000169,loc_001,2026-08-12,fever,14
opd_000170,loc_001,2026-08-12,diarrhea,10
opd_000171,loc_001,2026-08-12,cough,6
opd_000172,loc_001,2026-08-12,rash,2
opd_000173,loc_001,2026-08-13,fever,14
opd_000174,loc_001,2026-08-13,diarrhea,14
opd_000175,loc_001,2026-08-13,cough,5
opd_000176,loc_001,2026-08-13,rash,1
opd_000177,loc_001,2026-08-14,fever,18
opd_000178,loc_001,2026-08-14,diarrhea,12
opd_000179,loc_001,2026-08-14,cough,2
opd_000180,loc_001,2026-08-14,rash,3
opd_000181,loc_001,2026-08-15,fever,17
opd_000182,loc_001,2026-08-15,diarrhea,13
opd_000183,loc_001,2026-08-15,cough,4
opd_000184,loc_001,2026-08-15,rash,3
opd_000185,loc_001,2026-08-16,fever,24
opd_000186,loc_001,2026-08-16,diarrhea,14
opd_000187,loc_001,2026-08-16,cough,2
opd_000188,loc_001,2026-08-16,rash,2
opd_000189,loc_001,2026-08-17,fever,27
opd_000190,loc_001,2026-08-17,diarrhea,22
opd_000191,loc_001,2026-08-17,cough,3
opd_000192,loc_001,2026-08-17,rash,3
opd_000193,loc_001,2026-08-18,fever,31
opd_000194,loc_001,2026-08-18,diarrhea,28
opd_000195,loc_001,2026-08-18,cough,6
opd_000196,loc_001,2026-08-18,rash,1
opd_000197,loc_001,2026-08-19,fever,38
opd_000198,loc_001,2026-08-19,diarrhea,32
opd_000199,loc_001,2026-08-19,cough,3
opd_000200,loc_001,2026-08-19,rash,2
opd_000201,loc_001,2026-08-20,fever,44
opd_000202,loc_001,2026-08-20,diarrhea,31
opd_000203,loc_001,2026-08-20,cough,3
opd_000204,loc_001,2026-08-20,rash,2
opd_000205,loc_001,2026-08-21,fever,51
opd_000206,loc_001,2026-08-21,diarrhea,35
opd_000207,loc_001,2026-08-21,cough,6
opd_000208,loc_001,2026-08-21,rash,3
opd_000209,loc_001,2026-08-22,fever,54
opd_000210,loc_001,2026-08-22,diarrhea,45
opd_000211,loc_001,2026-08-22,cough,3
opd_000212,loc_001,2026-08-22,rash,3
opd_000213,loc_001,2026-08-23,fever,64
opd_000214,loc_001,2026-08-23,diarrhea,45
opd_000215,loc_001,2026-08-23,cough,4
opd_000216,loc_001,2026-08-23,rash,3
opd_000217,loc_001,2026-08-24,fever,69
opd_000218,loc_001,2026-08-24,diarrhea,54
opd_000219,loc_001,2026-08-24,cough,4
opd_000220,loc_001,2026-08-24,rash,1
opd_000221,loc_001,2026-08-25,fever,76
opd_000222,loc_001,2026-08-25,diarrhea,54
opd_000223,loc_001,2026-08-25,cough,2
opd_000224,loc_001,2026-08-25,rash,0
opd_000225,loc_001,2026-08-26,fever,79
opd_000226,loc_001,2026-08-26,diarrhea,62
opd_000227,loc_001,2026-08-26,cough,2
opd_000228,loc_001,2026-08-26,rash,3
opd_000229,loc_001,2026-08-27,fever,83
opd_000230,loc_001,2026-08-27,diarrhea,64
opd_000231,loc_001,2026-08-27,cough,2
opd_000232,loc_001,2026-08-27,rash,1
opd_000233,loc_001,2026-08-28,fever,90
opd_000234,loc_001,2026-08-28,diarrhea,65
opd_000235,loc_001,2026-08-28,cough,4
opd_000236,loc_001,2026-08-28,rash,2
opd_000237,loc_001,2026-08-29,fever,93
opd_000238,loc_001,2026-08-29,diarrhea,74
opd_000239,loc_001,2026-08-29,cough,3
opd_000240,loc_001,2026-08-29,rash,0
opd_000241,loc_002,2026-07-01,fever,15
opd_000242,loc_002,2026-07-01,diarrhea,11
opd_000243,loc_002,2026-07-01,cough,4
opd_000244,loc_002,2026-07-01,rash,2
opd_000245,loc_002,2026-07-02,fever,18
opd_000246,loc_002,2026-07-02,diarrhea,14
opd_000247,loc_002,2026-07-02,cough,3
opd_000248,loc_002,2026-07-02,rash,0
opd_000249,loc_002,2026-07-03,fever,14
opd_000250,loc_002,2026-07-03,diarrhea,14
opd_000251,loc_002,2026-07-03,cough,2
opd_000252,loc_002,2026-07-03,rash,3
opd_000253,loc_002,2026-07-04,fever,17
opd_000254,loc_002,2026-07-04,diarrhea,13
opd_000255,loc_002,2026-07-04,cough,6
opd_000256,loc_002,2026-07-04,rash,0
opd_000257,loc_002,2026-07-05,fever,16
opd_000258,loc_002,2026-07-05,diarrhea,14
opd_000259,loc_002,2026-07-05,cough,6
opd_000260,loc_002,2026-07-05,rash,2
opd_000261,loc_002,2026-07-06,fever,14
opd_000262,loc_002,2026-07-06,diarrhea,12
opd_000263,loc_002,2026-07-06,cough,2
opd_000264,loc_002,2026-07-06,rash,3
opd_000265,loc_002,2026-07-07,fever,18
opd_000266,loc_002,2026-07-07,diarrhea,13
opd_000267,loc_002,2026-07-07,cough,6
opd_000268,loc_002,2026-07-07,rash,0
opd_000269,loc_002,2026-07-08,fever,17
opd_000270,loc_002,2026-07-08,diarrhea,14
opd_000271,loc_002,2026-07-08,cough,6
opd_000272,loc_002,2026-07-08,rash,1
opd_000273,loc_002,2026-07-09,fever,18
opd_000274,loc_002,2026-07-09,diarrhea,13
opd_000275,loc_002,2026-07-09,cough,4
opd_000276,loc_002,2026-07-09,rash,2
opd_000277,loc_002,2026-07-10,fever,18
opd_000278,loc_002,2026-07-10,diarrhea,10
opd_000279,loc_002,2026-07-10,cough,6
opd_000280,loc_002,2026-07-10,rash,0
opd_000281,loc_002,2026-07-11,fever,18
opd_000282,loc_002,2026-07-11,diarrhea,10
opd_000283,loc_002,2026-07-11,cough,3
opd_000284,loc_002,2026-07-11,rash,0
opd_000285,loc_002,2026-07-12,fever,18
opd_000286,loc_002,2026-07-12,diarrhea,13
opd_000287,loc_002,2026-07-12,cough,4
opd_000288,loc_002,2026-07-12,rash,0
opd_000289,loc_002,2026-07-13,fever,18
opd_000290,loc_002,2026-07-13,diarrhea,14
opd_000291,loc_002,2026-07-13,cough,4
opd_000292,loc_002,2026-07-13,rash,1
opd_000293,loc_002,2026-07-14,fever,18
opd_000294,loc_002,2026-07-14,diarrhea,13
opd_000295,loc_002,2026-07-14,cough,3
opd_000296,loc_002,2026-07-14,rash,2
opd_000297,loc_002,2026-07-15,fever,14
opd_000298,loc_002,2026-07-15,diarrhea,14
opd_000299,loc_002,2026-07-15,cough,3
opd_000300,loc_002,2026-07-15,rash,3
opd_000301,loc_002,2026-07-16,fever,14
opd_000302,loc_002,2026-07-16,diarrhea,14
opd_000303,loc_002,2026-07-16,cough,4
opd_000304,loc_002,2026-07-16,rash,0
opd_000305,loc_002,2026-07-17,fever,17
opd_000306,loc_002,2026-07-17,diarrhea,12
opd_000307,loc_002,2026-07-17,cough,4
opd_000308,loc_002,2026-07-17,rash,0
opd_000309,loc_002,2026-07-18,fever,15
opd_000310,loc_002,2026-07-18,diarrhea,14
opd_000311,loc_002,2026-07-18,cough,6
opd_000312,loc_002,2026-07-18,rash,3
opd_000313,loc_002,2026-07-19,fever,18
opd_000314,loc_002,2026-07-19,diarrhea,12
opd_000315,loc_002,2026-07-19,cough,5
opd_000316,loc_002,2026-07-19,rash,0
opd_000317,loc_002,2026-07-20,fever,15
opd_000318,loc_002,2026-07-20,diarrhea,13
opd_000319,loc_002,2026-07-20,cough,6
opd_000320,loc_002,2026-07-20,rash,0
opd_000321,loc_002,2026-07-21,fever,16
opd_000322,loc_002,2026-07-21,diarrhea,13
opd_000323,loc_002,2026-07-21,cough,3
opd_000324,loc_002,2026-07-21,rash,2
opd_000325,loc_002,2026-07-22,fever,18
opd_000326,loc_002,2026-07-22,diarrhea,13
opd_000327,loc_002,2026-07-22,cough,2
opd_000328,loc_002,2026-07-22,rash,3
opd_000329,loc_002,2026-07-23,fever,14
opd_000330,loc_002,2026-07-23,diarrhea,10
opd_000331,loc_002,2026-07-23,cough,6
opd_000332,loc_002,2026-07-23,rash,3
opd_000333,loc_002,2026-07-24,fever,15
opd_000334,loc_002,2026-07-24,diarrhea,14
opd_000335,loc_002,2026-07-24,cough,6
opd_000336,loc_002,2026-07-24,rash,0
opd_000337,loc_002,2026-07-25,fever,18
opd_000338,loc_002,2026-07-25,diarrhea,14
opd_000339,loc_002,2026-07-25,cough,6
opd_000340,loc_002,2026-07-25,rash,2
opd_000341,loc_002,2026-07-26,fever,18
opd_000342,loc_002,2026-07-26,diarrhea,10
opd_000343,loc_002,2026-07-26,cough,4
opd_000344,loc_002,2026-07-26,rash,2
opd_000345,loc_002,2026-07-27,fever,16
opd_000346,loc_002,2026-07-27,diarrhea,12
opd_000347,loc_002,2026-07-27,cough,6
opd_000348,loc_002,2026-07-27,rash,2
opd_000349,loc_002,2026-07-28,fever,17
opd_000350,loc_002,2026-07-28,diarrhea,13
opd_000351,loc_002,2026-07-28,cough,5
opd_000352,loc_002,2026-07-28,rash,2
opd_000353,loc_002,2026-07-29,fever,14
opd_000354,loc_002,2026-07-29,diarrhea,13
opd_000355,loc_002,2026-07-29,cough,5
opd_000356,loc_002,2026-07-29,rash,0
opd_000357,loc_002,2026-07-30,fever,15
opd_000358,loc_002,2026-07-30,diarrhea,11
opd_000359,loc_002,2026-07-30,cough,3
opd_000360,loc_002,2026-07-30,rash,0
opd_000361,loc_002,2026-07-31,fever,18
opd_000362,loc_002,2026-07-31,diarrhea,13
opd_000363,loc_002,2026-07-31,cough,4
opd_000364,loc_002,2026-07-31,rash,2
opd_000365,loc_002,2026-08-01,fever,14
opd_000366,loc_002,2026-08-01,diarrhea,10
opd_000367,loc_002,2026-08-01,cough,2
opd_000368,loc_002,2026-08-01,rash,1
opd_000369,loc_002,2026-08-02,fever,17
opd_000370,loc_002,2026-08-02,diarrhea,10
opd_000371,loc_002,2026-08-02,cough,4
opd_000372,loc_002,2026-08-02,rash,1
opd_000373,loc_002,2026-08-03,fever,17
opd_000374,loc_002,2026-08-03,diarrhea,14
opd_000375,loc_002,2026-08-03,cough,2
opd_000376,loc_002,2026-08-03,rash,3
opd_000377,loc_002,2026-08-04,fever,17
opd_000378,loc_002,2026-08-04,diarrhea,11
opd_000379,loc_002,2026-08-04,cough,3
opd_000380,loc_002,2026-08-04,rash,0
opd_000381,loc_002,2026-08-05,fever,15
opd_000382,loc_002,2026-08-05,diarrhea,13
opd_000383,loc_002,2026-08-05,cough,3
opd_000384,loc_002,2026-08-05,rash,2
opd_000385,loc_002,2026-08-06,fever,16
opd_000386,loc_002,2026-08-06,diarrhea,12
opd_000387,loc_002,2026-08-06,cough,3
opd_000388,loc_002,2026-08-06,rash,1
opd_000389,loc_002,2026-08-07,fever,18
opd_000390,loc_002,2026-08-07,diarrhea,14
opd_000391,loc_002,2026-08-07,cough,2
opd_000392,loc_002,2026-08-07,rash,2
opd_000393,loc_002,2026-08-08,fever,17
opd_000394,loc_002,2026-08-08,diarrhea,11
opd_000395,loc_002,2026-08-08,cough,6
opd_000396,loc_002,2026-08-08,rash,3
opd_000397,loc_002,2026-08-09,fever,14
opd_000398,loc_002,2026-08-09,diarrhea,12
opd_000399,loc_002,2026-08-09,cough,5
opd_000400,loc_002,2026-08-09,rash,1
opd_000401,loc_002,2026-08-10,fever,17
opd_000402,loc_002,2026-08-10,diarrhea,11
opd_000403,loc_002,2026-08-10,cough,4
opd_000404,loc_002,2026-08-10,rash,0
opd_000405,loc_002,2026-08-11,fever,17
opd_000406,loc_002,2026-08-11,diarrhea,12
opd_000407,loc_002,2026-08-11,cough,4
opd_000408,loc_002,2026-08-11,rash,3
opd_000409,loc_002,2026-08-12,fever,16
opd_000410,loc_002,2026-08-12,diarrhea,13
opd_000411,loc_002,2026-08-12,cough,4
opd_000412,loc_002,2026-08-12,rash,2
opd_000413,loc_002,2026-08-13,fever,17
opd_000414,loc_002,2026-08-13,diarrhea,10
opd_000415,loc_002,2026-08-13,cough,6
opd_000416,loc_002,2026-08-13,rash,1
opd_000417,loc_002,2026-08-14,fever,18
opd_000418,loc_002,2026-08-14,diarrhea,11
opd_000419,loc_002,2026-08-14,cough,4
opd_000420,loc_002,2026-08-14,rash,1
opd_000421,loc_002,2026-08-15,fever,14
opd_000422,loc_002,2026-08-15,diarrhea,10
opd_000423,loc_002,2026-08-15,cough,4
opd_000424,loc_002,2026-08-15,rash,1
opd_000425,loc_002,2026-08-16,fever,22
opd_000426,loc_002,2026-08-16,diarrhea,13
opd_000427,loc_002,2026-08-16,cough,5
opd_000428,loc_002,2026-08-16,rash,2
opd_000429,loc_002,2026-08-17,fever,28
opd_000430,loc_002,2026-08-17,diarrhea,18
opd_000431,loc_002,2026-08-17,cough,4
opd_000432,loc_002,2026-08-17,rash,0
opd_000433,loc_002,2026-08-18,fever,35
opd_000434,loc_002,2026-08-18,diarrhea,28
opd_000435,loc_002,2026-08-18,cough,3
opd_000436,loc_002,2026-08-18,rash,1
opd_000437,loc_002,2026-08-19,fever,39
opd_000438,loc_002,2026-08-19,diarrhea,28
opd_000439,loc_002,2026-08-19,cough,5
opd_000440,loc_002,2026-08-19,rash,0
opd_000441,loc_002,2026-08-20,fever,47
opd_000442,loc_002,2026-08-20,diarrhea,36
opd_000443,loc_002,2026-08-20,cough,4
opd_000444,loc_002,2026-08-20,rash,3
opd_000445,loc_002,2026-08-21,fever,51
opd_000446,loc_002,2026-08-21,diarrhea,40
opd_000447,loc_002,2026-08-21,cough,6
opd_000448,loc_002,2026-08-21,rash,0
opd_000449,loc_002,2026-08-22,fever,55
opd_000450,loc_002,2026-08-22,diarrhea,42
opd_000451,loc_002,2026-08-22,cough,4
opd_000452,loc_002,2026-08-22,rash,0
opd_000453,loc_002,2026-08-23,fever,64
opd_000454,loc_002,2026-08-23,diarrhea,44
opd_000455,loc_002,2026-08-23,cough,5
opd_000456,loc_002,2026-08-23,rash,1
opd_000457,loc_002,2026-08-24,fever,68
opd_000458,loc_002,2026-08-24,diarrhea,54
opd_000459,loc_002,2026-08-24,cough,6
opd_000460,loc_002,2026-08-24,rash,0
opd_000461,loc_002,2026-08-25,fever,71
opd_000462,loc_002,2026-08-25,diarrhea,54
opd_000463,loc_002,2026-08-25,cough,2
opd_000464,loc_002,2026-08-25,rash,3
opd_000465,loc_002,2026-08-26,fever,78
opd_000466,loc_002,2026-08-26,diarrhea,59
opd_000467,loc_002,2026-08-26,cough,4
opd_000468,loc_002,2026-08-26,rash,3
opd_000469,loc_002,2026-08-27,fever,82
opd_000470,loc_002,2026-08-27,diarrhea,65
opd_000471,loc_002,2026-08-27,cough,5
opd_000472,loc_002,2026-08-27,rash,0
opd_000473,loc_002,2026-08-28,fever,88
opd_000474,loc_002,2026-08-28,diarrhea,69
opd_000475,loc_002,2026-08-28,cough,3
opd_000476,loc_002,2026-08-28,rash,0
opd_000477,loc_002,2026-08-29,fever,99
opd_000478,loc_002,2026-08-29,diarrhea,72
opd_000479,loc_002,2026-08-29,cough,6
opd_000480,loc_002,2026-08-29,rash,2
opd_000481,loc_003,2026-07-01,fever,18
opd_000482,loc_003,2026-07-01,diarrhea,11
opd_000483,loc_003,2026-07-01,cough,2
opd_000484,loc_003,2026-07-01,rash,2
opd_000485,loc_003,2026-07-02,fever,18
opd_000486,loc_003,2026-07-02,diarrhea,14
opd_000487,loc_003,2026-07-02,cough,5
opd_000488,loc_003,2026-07-02,rash,0
opd_000489,loc_003,2026-07-03,fever,18
opd_000490,loc_003,2026-07-03,diarrhea,12
opd_000491,loc_003,2026-07-03,cough,4
opd_000492,loc_003,2026-07-03,rash,1
opd_000493,loc_003,2026-07-04,fever,16
opd_000494,loc_003,2026-07-04,diarrhea,11
opd_000495,loc_003,2026-07-04,cough,4
opd_000496,loc_003,2026-07-04,rash,3
opd_000497,loc_003,2026-07-05,fever,15
opd_000498,loc_003,2026-07-05,diarrhea,10
opd_000499,loc_003,2026-07-05,cough,3
opd_000500,loc_003,2026-07-05,rash,3
opd_000501,loc_003,2026-07-06,fever,16
opd_000502,loc_003,2026-07-06,diarrhea,13
opd_000503,loc_003,2026-07-06,cough,2
opd_000504,loc_003,2026-07-06,rash,3
opd_000505,loc_003,2026-07-07,fever,14
opd_000506,loc_003,2026-07-07,diarrhea,11
opd_000507,loc_003,2026-07-07,cough,6
opd_000508,loc_003,2026-07-07,rash,3
opd_000509,loc_003,2026-07-08,fever,17
opd_000510,loc_003,2026-07-08,diarrhea,14
opd_000511,loc_003,2026-07-08,cough,2
opd_000512,loc_003,2026-07-08,rash,2
opd_000513,loc_003,2026-07-09,fever,18
opd_000514,loc_003,2026-07-09,diarrhea,12
opd_000515,loc_003,2026-07-09,cough,3
opd_000516,loc_003,2026-07-09,rash,3
opd_000517,loc_003,2026-07-10,fever,18
opd_000518,loc_003,2026-07-10,diarrhea,12
opd_000519,loc_003,2026-07-10,cough,2
opd_000520,loc_003,2026-07-10,rash,3
opd_000521,loc_003,2026-07-11,fever,16
opd_000522,loc_003,2026-07-11,diarrhea,12
opd_000523,loc_003,2026-07-11,cough,4
opd_000524,loc_003,2026-07-11,rash,2
opd_000525,loc_003,2026-07-12,fever,15
opd_000526,loc_003,2026-07-12,diarrhea,11
opd_000527,loc_003,2026-07-12,cough,5
opd_000528,loc_003,2026-07-12,rash,3
opd_000529,loc_003,2026-07-13,fever,14
opd_000530,loc_003,2026-07-13,diarrhea,13
opd_000531,loc_003,2026-07-13,cough,3
opd_000532,loc_003,2026-07-13,rash,1
opd_000533,loc_003,2026-07-14,fever,14
opd_000534,loc_003,2026-07-14,diarrhea,14
opd_000535,loc_003,2026-07-14,cough,2
opd_000536,loc_003,2026-07-14,rash,0
opd_000537,loc_003,2026-07-15,fever,14
opd_000538,loc_003,2026-07-15,diarrhea,13
opd_000539,loc_003,2026-07-15,cough,3
opd_000540,loc_003,2026-07-15,rash,0
opd_000541,loc_003,2026-07-16,fever,16
opd_000542,loc_003,2026-07-16,diarrhea,13
opd_000543,loc_003,2026-07-16,cough,2
opd_000544,loc_003,2026-07-16,rash,2
opd_000545,loc_003,2026-07-17,fever,16
opd_000546,loc_003,2026-07-17,diarrhea,11
opd_000547,loc_003,2026-07-17,cough,3
opd_000548,loc_003,2026-07-17,rash,0
opd_000549,loc_003,2026-07-18,fever,18
opd_000550,loc_003,2026-07-18,diarrhea,11
opd_000551,loc_003,2026-07-18,cough,3
opd_000552,loc_003,2026-07-18,rash,3
opd_000553,loc_003,2026-07-19,fever,14
opd_000554,loc_003,2026-07-19,diarrhea,14
opd_000555,loc_003,2026-07-19,cough,5
opd_000556,loc_003,2026-07-19,rash,3
opd_000557,loc_003,2026-07-20,fever,16
opd_000558,loc_003,2026-07-20,diarrhea,10
opd_000559,loc_003,2026-07-20,cough,3
opd_000560,loc_003,2026-07-20,rash,3
opd_000561,loc_003,2026-07-21,fever,15
opd_000562,loc_003,2026-07-21,diarrhea,13
opd_000563,loc_003,2026-07-21,cough,5
opd_000564,loc_003,2026-07-21,rash,1
opd_000565,loc_003,2026-07-22,fever,17
opd_000566,loc_003,2026-07-22,diarrhea,12
opd_000567,loc_003,2026-07-22,cough,3
opd_000568,loc_003,2026-07-22,rash,3
opd_000569,loc_003,2026-07-23,fever,18
opd_000570,loc_003,2026-07-23,diarrhea,14
opd_000571,loc_003,2026-07-23,cough,4
opd_000572,loc_003,2026-07-23,rash,0
opd_000573,loc_003,2026-07-24,fever,15
opd_000574,loc_003,2026-07-24,diarrhea,13
opd_000575,loc_003,2026-07-24,cough,5
opd_000576,loc_003,2026-07-24,rash,0
opd_000577,loc_003,2026-07-25,fever,16
opd_000578,loc_003,2026-07-25,diarrhea,11
opd_000579,loc_003,2026-07-25,cough,4
opd_000580,loc_003,2026-07-25,rash,3
opd_000581,loc_003,2026-07-26,fever,14
opd_000582,loc_003,2026-07-26,diarrhea,11
opd_000583,loc_003,2026-07-26,cough,6
opd_000584,loc_003,2026-07-26,rash,0
opd_000585,loc_003,2026-07-27,fever,15
opd_000586,loc_003,2026-07-27,diarrhea,13
opd_000587,loc_003,2026-07-27,cough,5
