signal_id,location_id,date,rainfall_mm,water_risk_index
environment_000170,loc_003,2026-08-19,31.1,0.58
environment_000171,loc_003,2026-08-20,30.7,0.57
environment_000172,loc_003,2026-08-21,28.4,0.6
environment_000173,loc_003,2026-08-22,31.3,0.65
environment_000174,loc_003,2026-08-23,36.1,0.63
environment_000175,loc_003,2026-08-24,32.6,0.68
environment_000176,loc_003,2026-08-25,37.8,0.71
environment_000177,loc_003,2026-08-26,41.8,0.74
environment_000178,loc_003,2026-08-27,39.7,0.78
environment_000179,loc_003,2026-08-28,41.0,0.77
environment_000180,loc_003,2026-08-29,44.0,0.8
environment_000181,loc_004,2026-07-01,10.3,0.33
environment_000182,loc_004,2026-07-02,16.1,0.4
environment_000183,loc_004,2026-07-03,12.7,0.36
environment_000184,loc_004,2026-07-04,14.8,0.36
environment_000185,loc_004,2026-07-05,16.5,0.39
environment_000186,loc_004,2026-07-06,15.8,0.36
environment_000187,loc_004,2026-07-07,14.1,0.4
environment_000188,loc_004,2026-07-08,15.4,0.42
environment_000189,loc_004,2026-07-09,16.0,0.36
environment_000190,loc_004,2026-07-10,21.4,0.46
environment_000191,loc_004,2026-07-11,17.8,0.43
environment_000192,loc_004,2026-07-12,19.1,0.4
environment_000193,loc_004,2026-07-13,19.2,0.42
environment_000194,loc_004,2026-07-14,19.8,0.38
environment_000195,loc_004,2026-07-15,23.7,0.42
environment_000196,loc_004,2026-07-16,17.8,0.42
environment_000197,loc_004,2026-07-17,17.8,0.39
environment_000198,loc_004,2026-07-18,18.0,0.44
environment_000199,loc_004,2026-07-19,22.4,0.44
environment_000200,loc_004,2026-07-20,20.6,0.44
environment_000201,loc_004,2026-07-21,18.9,0.42
environment_000202,loc_004,2026-07-22,25.1,0.49
environment_000203,loc_004,2026-07-23,25.9,0.45
environment_000204,loc_004,2026-07-24,23.5,0.45
environment_000205,loc_004,2026-07-25,25.7,0.47
environment_000206,loc_004,2026-07-26,27.6,0.44
environment_000207,loc_004,2026-07-27,22.0,0.44
environment_000208,loc_004,2026-07-28,24.6,0.43
environment_000209,loc_004,2026-07-29,20.6,0.4
environment_000210,loc_004,2026-07-30,23.4,0.41
environment_000211,loc_004,2026-07-31,25.3,0.46
environment_000212,loc_004,2026-08-01,25.3,0.45
environment_000213,loc_004,2026-08-02,25.8,0.43
environment_000214,loc_004,2026-08-03,27.7,0.48
environment_000215,loc_004,2026-08-04,24.8,0.46
environment_000216,loc_004,2026-08-05,27.0,0.46
environment_000217,loc_004,2026-08-06,27.4,0.48
environment_000218,loc_004,2026-08-07,26.9,0.48
environment_000219,loc_004,2026-08-08,19.8,0.43
environment_000220,loc_004,2026-08-09,24.5,0.45
environment_000221,loc_004,2026-08-10,25.5,0.48
environment_000222,loc_004,2026-08-11,21.7,0.43
environment_000223,loc_004,2026-08-12,20.2,0.39
environment_000224,loc_004,2026-08-13,22.1,0.42
environment_000225,loc_004,2026-08-14,23.8,0.41
environment_000226,loc_004,2026-08-15,19.8,0.46
environment_000227,loc_004,2026-08-16,22.5,0.41
environment_000228,loc_004,2026-08-17,22.3,0.43
environment_000229,loc_004,2026-08-18,20.6,0.45
environment_000230,loc_004,2026-08-19,19.1,0.4
environment_000231,loc_004,2026-08-20,19.9,0.44
environment_000232,loc_004,2026-08-21,21.9,0.46
environment_000233,loc_004,2026-08-22,18.7,0.4
environment_000234,loc_004,2026-08-23,20.2,0.44
environment_000235,loc_004,2026-08-24,13.4,0.38
environment_000236,loc_004,2026-08-25,12.6,0.36
environment_000237,loc_004,2026-08-26,15.2,0.39
environment_000238,loc_004,2026-08-27,16.5,0.44
environment_000239,loc_004,2026-08-28,11.5,0.38
environment_000240,loc_004,2026-08-29,18.0,0.44
environment_000241,loc_005,2026-07-01,14.9,0.37
environment_000242,loc_005,2026-07-02,11.9,0.37
environment_000243,loc_005,2026-07-03,14.3,0.36
environment_000244,loc_005,2026-07-04,17.6,0.42
environment_000245,loc_005,2026-07-05,17.2,0.37
environment_000246,loc_005,2026-07-06,13.4,0.4
environment_000247,loc_005,2026-07-07,19.6,0.43
environment_000248,loc_005,2026-07-08,21.2,0.41
environment_000249,loc_005,2026-07-09,15.2,0.38
environment_000250,loc_005,2026-07-10,20.3,0.41
environment_000251,loc_005,2026-07-11,22.5,0.41
environment_000252,loc_005,2026-07-12,23.3,0.45
environment_000253,loc_005,2026-07-13,23.0,0.46
environment_000254,loc_005,2026-07-14,18.4,0.38
environment_000255,loc_005,2026-07-15,21.4,0.46
environment_000256,loc_005,2026-07-16,23.8,0.45
environment_000257,loc_005,2026-07-17,24.1,0.45
environment_000258,loc_005,2026-07-18,19.6,0.39
environment_000259,loc_005,2026-07-19,24.1,0.42
environment_000260,loc_005,2026-07-20,22.5,0.45
environment_000261,loc_005,2026-07-21,24.0,0.43
environment_000262,loc_005,2026-07-22,21.5,0.44
environment_000263,loc_005,2026-07-23,20.2,0.46
environment_000264,loc_005,2026-07-24,22.3,0.41
environment_000265,loc_005,2026-07-25,20.4,0.45
environment_000266,loc_005,2026-07-26,22.6,0.45
environment_000267,loc_005,2026-07-27,26.0,0.5
environment_000268,loc_005,2026-07-28,23.2,0.46
environment_000269,loc_005,2026-07-29,23.6,0.48
environment_000270,loc_005,2026-07-30,20.6,0.4
environment_000271,loc_005,2026-07-31,20.6,0.46
environment_000272,loc_005,2026-08-01,23.5,0.42
environment_000273,loc_005,2026-08-02,20.7,0.4
environment_000274,loc_005,2026-08-03,24.1,0.44
environment_000275,loc_005,2026-08-04,24.6,0.46
environment_000276,loc_005,2026-08-05,20.4,0.43
environment_000277,loc_005,2026-08-06,24.0,0.44
environment_000278,loc_005,2026-08-07,20.9,0.44
environment_000279,loc_005,2026-08-08,21.9,0.46
environment_000280,loc_005,2026-08-09,22.8,0.44
environment_000281,loc_005,2026-08-10,21.8,0.45
environment_000282,loc_005,2026-08-11,24.6,0.45
environment_000283,loc_005,2026-08-12,25.7,0.47
environment_000284,loc_005,2026-08-13,20.9,0.44
environment_000285,loc_005,2026-08-14,21.2,0.43
environment_000286,loc_005,2026-08-15,19.4,0.43
environment_000287,loc_005,2026-08-16,18.1,0.44
environment_000288,loc_005,2026-08-17,17.5,0.38
environment_000289,loc_005,2026-08-18,18.9,0.38
environment_000290,loc_005,2026-08-19,15.6,0.35
environment_000291,loc_005,2026-08-20,18.1,0.43
environment_000292,loc_005,2026-08-21,15.1,0.42
environment_000293,loc_005,2026-08-22,15.6,0.42
environment_000294,loc_005,2026-08-23,21.0,0.42
environment_000295,loc_005,2026-08-24,15.9,0.4
environment_000296,loc_005,2026-08-25,20.5,0.39
environment_000297,loc_005,2026-08-26,20.1,0.45
environment_000298,loc_005,2026-08-27,18.2,0.44
environment_000299,loc_005,2026-08-28,18.3,0.41
environment_000300,loc_005,2026-08-29,17.7,0.43
environment_000301,loc_006,2026-07-01,16.6,0.37
environment_000302,loc_006,2026-07-02,14.8,0.38
environment_000303,loc_006,2026-07-03,11.3,0.34
environment_000304,loc_006,2026-07-04,15.5,0.39
environment_000305,loc_006,2026-07-05,15.8,0.36
environment_000306,loc_006,2026-07-06,12.8,0.39
environment_000307,loc_006,2026-07-07,13.9,0.39
environment_000308,loc_006,2026-07-08,15.1,0.38
environment_000309,loc_006,2026-07-09,18.0,0.44
environment_000310,loc_006,2026-07-10,15.7,0.42
environment_000311,loc_006,2026-07-11,20.1,0.44
environment_000312,loc_006,2026-07-12,15.8,0.43
environment_000313,loc_006,2026-07-13,23.6,0.45
environment_000314,loc_006,2026-07-14,20.7,0.46
environment_000315,loc_006,2026-07-15,23.8,0.46
environment_000316,loc_006,2026-07-16,21.8,0.44
environment_000317,loc_006,2026-07-17,24.9,0.46
environment_000318,loc_006,2026-07-18,20.1,0.41
environment_000319,loc_006,2026-07-19,23.2,0.42
environment_000320,loc_006,2026-07-20,24.5,0.42
environment_000321,loc_006,2026-07-21,25.1,0.45
environment_000322,loc_006,2026-07-22,20.2,0.41
environment_000323,loc_006,2026-07-23,22.3,0.43
environment_000324,loc_006,2026-07-24,24.7,0.44
environment_000325,loc_006,2026-07-25,22.8,0.46
environment_000326,loc_006,2026-07-26,21.7,0.42
environment_000327,loc_006,2026-07-27,27.5,0.49
environment_000328,loc_006,2026-07-28,20.2,0.39
environment_000329,loc_006,2026-07-29,25.5,0.44
environment_000330,loc_006,2026-07-30,27.4,0.51
environment_000331,loc_006,2026-07-31,23.8,0.41
environment_000332,loc_006,2026-08-01,24.5,0.43
environment_000333,loc_006,2026-08-02,26.1,0.48
environment_000334,loc_006,2026-08-03,23.8,0.49
environment_000335,loc_006,2026-08-04,25.2,0.48
environment_000336,loc_006,2026-08-05,26.3,0.5
environment_000337,loc_006,2026-08-06,19.7,0.41
environment_000338,loc_006,2026-08-07,25.0,0.48
environment_000339,loc_006,2026-08-08,20.0,0.43
environment_000340,loc_006,2026-08-09,25.0,0.48
environment_000341,loc_006,2026-08-10,19.4,0.38
environment_000342,loc_006,2026-08-11,26.2,0.45
environment_000343,loc_006,2026-08-12,26.1,0.44
environment_000344,loc_006,2026-08-13,22.2,0.4
environment_000345,loc_006,2026-08-14,19.0,0.38
environment_000346,loc_006,2026-08-15,23.1,0.41
environment_000347,loc_006,2026-08-16,22.1,0.46
environment_000348,loc_006,2026-08-17,19.0,0.41
environment_000349,loc_006,2026-08-18,21.3,0.42
environment_000350,loc_006,2026-08-19,19.3,0.39
environment_000351,loc_006,2026-08-20,16.5,0.42
environment_000352,loc_006,2026-08-21,16.8,0.38
environment_000353,loc_006,2026-08-22,18.5,0.43
environment_000354,loc_006,2026-08-23,21.2,0.39
environment_000355,loc_006,2026-08-24,18.6,0.45
environment_000356,loc_006,2026-08-25,19.4,0.44
environment_000357,loc_006,2026-08-26,18.9,0.38
environment_000358,loc_006,2026-08-27,14.2,0.42
environment_000359,loc_006,2026-08-28,13.1,0.38
environment_000360,loc_006,2026-08-29,11.9,0.36
environment_000361,loc_007,2026-07-01,13.5,0.34
environment_000362,loc_007,2026-07-02,14.1,0.36
environment_000363,loc_007,2026-07-03,13.8,0.37
environment_000364,loc_007,2026-07-04,14.4,0.36
environment_000365,loc_007,2026-07-05,13.5,0.34
environment_000366,loc_007,2026-07-06,16.0,0.4
environment_000367,loc_007,2026-07-07,18.5,0.37
environment_000368,loc_007,2026-07-08,17.7,0.37
environment_000369,loc_007,2026-07-09,17.1,0.42
environment_000370,loc_007,2026-07-10,20.7,0.39
environment_000371,loc_007,2026-07-11,18.8,0.38
environment_000372,loc_007,2026-07-12,16.3,0.42
environment_000373,loc_007,2026-07-13,18.1,0.42
environment_000374,loc_007,2026-07-14,19.2,0.43
environment_000375,loc_007,2026-07-15,23.3,0.41
environment_000376,loc_007,2026-07-16,17.1,0.37
environment_000377,loc_007,2026-07-17,20.6,0.42
environment_000378,loc_007,2026-07-18,22.5,0.43
environment_000379,loc_007,2026-07-19,24.8,0.45
environment_000380,loc_007,2026-07-20,22.5,0.48
environment_000381,loc_007,2026-07-21,23.0,0.44
environment_000382,loc_007,2026-07-22,25.0,0.44
environment_000383,loc_007,2026-07-23,24.4,0.42
environment_000384,loc_007,2026-07-24,24.6,0.48
environment_000385,loc_007,2026-07-25,22.0,0.45
environment_000386,loc_007,2026-07-26,22.6,0.42
environment_000387,loc_007,2026-07-27,25.0,0.49
environment_000388,loc_007,2026-07-28,20.8,0.4
environment_000389,loc_007,2026-07-29,24.6,0.49
environment_000390,loc_007,2026-07-30,23.9,0.45
environment_000391,loc_007,2026-07-31,25.2,0.43
environment_000392,loc_007,2026-08-01,22.5,0.43
environment_000393,loc_007,2026-08-02,27.7,0.48
environment_000394,loc_007,2026-08-03,22.3,0.44
environment_000395,loc_007,2026-08-04,26.5,0.45
environment_000396,loc_007,2026-08-05,21.5,0.46
environment_000397,loc_007,2026-08-06,23.2,0.45
environment_000398,loc_007,2026-08-07,23.1,0.46
environment_000399,loc_007,2026-08-08,20.3,0.44
environment_000400,loc_007,2026-08-09,21.8,0.4
environment_000401,loc_007,2026-08-10,21.5,0.47
environment_000402,loc_007,2026-08-11,25.7,0.45
environment_000403,loc_007,2026-08-12,19.3,0.41
environment_000404,loc_007,2026-08-13,19.2,0.39
environment_000405,loc_007,2026-08-14,24.9,0.43
environment_000406,loc_007,2026-08-15,21.5,0.44
environment_000407,loc_007,2026-08-16,21.3,0.46
environment_000408,loc_007,2026-08-17,21.7,0.41
environment_000409,loc_007,2026-08-18,16.6,0.43
environment_000410,loc_007,2026-08-19,19.1,0.4
environment_000411,loc_007,2026-08-20,21.8,0.45
environment_000412,loc_007,2026-08-21,20.8,0.41
environment_000413,loc_007,2026-08-22,17.7,0.38
environment_000414,loc_007,2026-08-23,19.9,0.44
environment_000415,loc_007,2026-08-24,20.6,0.45
environment_000416,loc_007,2026-08-25,13.3,0.37
environment_000417,loc_007,2026-08-26,19.4,0.4
environment_000418,loc_007,2026-08-27,15.6,0.42
environment_000419,loc_007,2026-08-28,16.9,0.39
environment_000420,loc_007,2026-08-29,16.3,0.43
environment_000421,loc_008,2026-07-01,14.8,0.41
environment_000422,loc_008,2026-07-02,12.7,0.4
environment_000423,loc_008,2026-07-03,12.2,0.38
environment_000424,loc_008,2026-07-04,12.7,0.37
environment_000425,loc_008,2026-07-05,18.4,0.43
environment_000426,loc_008,2026-07-06,16.4,0.39
environment_000427,loc_008,2026-07-07,16.9,0.38
environment_000428,loc_008,2026-07-08,20.0,0.42
environment_000429,loc_008,2026-07-09,16.1,0.4
environment_000430,loc_008,2026-07-10,18.5,0.44
environment_000431,loc_008,2026-07-11,19.6,0.42
environment_000432,loc_008,2026-07-12,18.4,0.4
environment_000433,loc_008,2026-07-13,21.9,0.46
environment_000434,loc_008,2026-07-14,20.0,0.44
environment_000435,loc_008,2026-07-15,23.3,0.41
environment_000436,loc_008,2026-07-16,22.7,0.42
environment_000437,loc_008,2026-07-17,19.2,0.41
environment_000438,loc_008,2026-07-18,24.8,0.48
environment_000439,loc_008,2026-07-19,19.1,0.44
environment_000440,loc_008,2026-07-20,26.2,0.44
environment_000441,loc_008,2026-07-21,18.9,0.4
environment_000442,loc_008,2026-07-22,25.7,0.45
environment_000443,loc_008,2026-07-23,26.0,0.46
environment_000444,loc_008,2026-07-24,25.6,0.47
environment_000445,loc_008,2026-07-25,23.3,0.44
environment_000446,loc_008,2026-07-26,24.7,0.46
environment_000447,loc_008,2026-07-27,22.7,0.45
environment_000448,loc_008,2026-07-28,23.4,0.44
environment_000449,loc_008,2026-07-29,23.0,0.48
environment_000450,loc_008,2026-07-30,22.5,0.45
environment_000451,loc_008,2026-07-31,24.7,0.42
environment_000452,loc_008,2026-08-01,22.1,0.4
environment_000453,loc_008,2026-08-02,24.8,0.46
environment_000454,loc_008,2026-08-03,26.4,0.51
environment_000455,loc_008,2026-08-04,26.0,0.45
environment_000456,loc_008,2026-08-05,21.4,0.46
environment_000457,loc_008,2026-08-06,26.0,0.48
environment_000458,loc_008,2026-08-07,24.8,0.43
environment_000459,loc_008,2026-08-08,26.6,0.51
environment_000460,loc_008,2026-08-09,24.3,0.49
environment_000461,loc_008,2026-08-10,18.7,0.39
environment_000462,loc_008,2026-08-11,23.2,0.41
environment_000463,loc_008,2026-08-12,24.8,0.43
environment_000464,loc_008,2026-08-13,19.5,0.43
environment_000465,loc_008,2026-08-14,19.4,0.45
environment_000466,loc_008,2026-08-15,22.7,0.46
environment_000467,loc_008,2026-08-16,18.7,0.39
environment_000468,loc_008,2026-08-17,18.3,0.4
environment_000469,loc_008,2026-08-18,18.9,0.38
environment_000470,loc_008,2026-08-19,17.6,0.38
environment_000471,loc_008,2026-08-20,15.7,0.36
environment_000472,loc_008,2026-08-21,22.4,0.41
environment_000473,loc_008,2026-08-22,16.9,0.4
environment_000474,loc_008,2026-08-23,17.8,0.43
environment_000475,loc_008,2026-08-24,16.1,0.38
environment_000476,loc_008,2026-08-25,17.0,0.4
environment_000477,loc_008,2026-08-26,18.0,0.41
environment_000478,loc_008,2026-08-27,14.2,0.36
environment_000479,loc_008,2026-08-28,16.6,0.4
environment_000480,loc_008,2026-08-29,13.5,0.39
environment_000481,loc_009,2026-07-01,13.0,0.41
environment_000482,loc_009,2026-07-02,13.9,0.39
environment_000483,loc_009,2026-07-03,16.2,0.38
environment_000484,loc_009,2026-07-04,17.2,0.36
environment_000485,loc_009,2026-07-05,16.1,0.38
environment_000486,loc_009,2026-07-06,16.4,0.43
environment_000487,loc_009,2026-07-07,16.6,0.39
environment_000488,loc_009,2026-07-08,20.7,0.41
environment_000489,loc_009,2026-07-09,19.1,0.38
environment_000490,loc_009,2026-07-10,21.9,0.42
environment_000491,loc_009,2026-07-11,16.5,0.43
environment_000492,loc_009,2026-07-12,21.9,0.45
environment_000493,loc_009,2026-07-13,23.5,0.48
environment_000494,loc_009,2026-07-14,17.3,0.38
environment_000495,loc_009,2026-07-15,19.9,0.44
environment_000496,loc_009,2026-07-16,20.0,0.4
environment_000497,loc_009,2026-07-17,24.6,0.42
environment_000498,loc_009,2026-07-18,17.8,0.44
environment_000499,loc_009,2026-07-19,19.5,0.39
environment_000500,loc_009,2026-07-20,21.5,0.44
environment_000501,loc_009,2026-07-21,23.9,0.42
environment_000502,loc_009,2026-07-22,25.7,0.49
environment_000503,loc_009,2026-07-23,24.5,0.44
environment_000504,loc_009,2026-07-24,25.7,0.43
environment_000505,loc_009,2026-07-25,23.4,0.44
environment_000506,loc_009,2026-07-26,25.9,0.45
environment_000507,loc_009,2026-07-27,26.8,0.44
environment_000508,loc_009,2026-07-28,23.4,0.47
environment_000509,loc_009,2026-07-29,21.0,0.46
environment_000510,loc_009,2026-07-30,23.1,0.43
environment_000511,loc_009,2026-07-31,26.0,0.49
environment_000512,loc_009,2026-08-01,26.9,0.46
environment_000513,loc_009,2026-08-02,25.9,0.49
environment_000514,loc_009,2026-08-03,26.5,0.5
environment_000515,loc_009,2026-08-04,23.2,0.44
environment_000516,loc_009,2026-08-05,25.5,0.44
environment_000517,loc_009,2026-08-06,25.3,0.47
environment_000518,loc_009,2026-08-07,25.7,0.47
environment_000519,loc_009,2026-08-08,20.7,0.4
environment_000520,loc_009,2026-08-09,26.9,0.5
environment_000521,loc_009,2026-08-10,23.0,0.46
environment_000522,loc_009,2026-08-11,22.4,0.43
environment_000523,loc_009,2026-08-12,25.3,0.46
environment_000524,loc_009,2026-08-13,24.9,0.5
environment_000525,loc_009,2026-08-14,21.0,0.45
environment_000526,loc_009,2026-08-15,23.2,0.41
environment_000527,loc_009,2026-08-16,16.9,0.41
environment_000528,loc_009,2026-08-17,21.8,0.4
environment_000529,loc_009,2026-08-18,23.7,0.42
environment_000530,loc_009,2026-08-19,15.7,0.38
environment_000531,loc_009,2026-08-20,21.2,0.42
environment_000532,loc_009,2026-08-21,22.1,0.4
environment_000533,loc_009,2026-08-22,21.9,0.46
environment_000534,loc_009,2026-08-23,18.2,0.39
environment_000535,loc_009,2026-08-24,19.7,0.4
environment_000536,loc_009,2026-08-25,17.4,0.41
