signal_id,location_id,date,syndrome,case_count
asha_000091,loc_001,2026-07-23,cough,5
asha_000092,loc_001,2026-07-23,rash,3
asha_000093,loc_001,2026-07-24,fever,22
asha_000094,loc_001,2026-07-24,diarrhea,16
asha_000095,loc_001,2026-07-24,cough,3
asha_000096,loc_001,2026-07-24,rash,0
asha_000097,loc_001,2026-07-25,fever,18
asha_000098,loc_001,2026-07-25,diarrhea,16
asha_000099,loc_001,2026-07-25,cough,4
asha_000100,loc_001,2026-07-25,rash,0
asha_000101,loc_001,2026-07-26,fever,22
asha_000102,loc_001,2026-07-26,diarrhea,13
asha_000103,loc_001,2026-07-26,cough,3
asha_000104,loc_001,2026-07-26,rash,2
asha_000105,loc_001,2026-07-27,fever,20
asha_000106,loc_001,2026-07-27,diarrhea,13
asha_000107,loc_001,2026-07-27,cough,5
asha_000108,loc_001,2026-07-27,rash,0
asha_000109,loc_001,2026-07-28,fever,21
asha_000110,loc_001,2026-07-28,diarrhea,14
asha_000111,loc_001,2026-07-28,cough,5
asha_000112,loc_001,2026-07-28,rash,0
asha_000113,loc_001,2026-07-29,fever,19
asha_000114,loc_001,2026-07-29,diarrhea,16
asha_000115,loc_001,2026-07-29,cough,1
asha_000116,loc_001,2026-07-29,rash,0
asha_000117,loc_001,2026-07-30,fever,22
asha_000118,loc_001,2026-07-30,diarrhea,15
asha_000119,loc_001,2026-07-30,cough,5
asha_000120,loc_001,2026-07-30,rash,2
asha_000121,loc_001,2026-07-31,fever,22
asha_000122,loc_001,2026-07-31,diarrhea,14
asha_000123,loc_001,2026-07-31,cough,5
asha_000124,loc_001,2026-07-31,rash,1
asha_000125,loc_001,2026-08-01,fever,20
asha_000126,loc_001,2026-08-01,diarrhea,17
asha_000127,loc_001,2026-08-01,cough,5
asha_000128,loc_001,2026-08-01,rash,3
asha_000129,loc_001,2026-08-02,fever,19
asha_000130,loc_001,2026-08-02,diarrhea,17
asha_000131,loc_001,2026-08-02,cough,1
asha_000132,loc_001,2026-08-02,rash,0
asha_000133,loc_001,2026-08-03,fever,20
asha_000134,loc_001,2026-08-03,diarrhea,13
asha_000135,loc_001,2026-08-03,cough,5
asha_000136,loc_001,2026-08-03,rash,1
asha_000137,loc_001,2026-08-04,fever,19
asha_000138,loc_001,2026-08-04,diarrhea,17
asha_000139,loc_001,2026-08-04,cough,1
asha_000140,loc_001,2026-08-04,rash,3
asha_000141,loc_001,2026-08-05,fever,21
asha_000142,loc_001,2026-08-05,diarrhea,17
asha_000143,loc_001,2026-08-05,cough,5
asha_000144,loc_001,2026-08-05,rash,1
asha_000145,loc_001,2026-08-06,fever,20
asha_000146,loc_001,2026-08-06,diarrhea,13
asha_000147,loc_001,2026-08-06,cough,5
asha_000148,loc_001,2026-08-06,rash,3
asha_000149,loc_001,2026-08-07,fever,18
asha_000150,loc_001,2026-08-07,diarrhea,13
asha_000151,loc_001,2026-08-07,cough,5
asha_000152,loc_001,2026-08-07,rash,1
asha_000153,loc_001,2026-08-08,fever,22
asha_000154,loc_001,2026-08-08,diarrhea,16
asha_000155,loc_001,2026-08-08,cough,3
asha_000156,loc_001,2026-08-08,rash,0
asha_000157,loc_001,2026-08-09,fever,21
asha_000158,loc_001,2026-08-09,diarrhea,16
asha_000159,loc_001,2026-08-09,cough,2
asha_000160,loc_001,2026-08-09,rash,1
asha_000161,loc_001,2026-08-10,fever,21
asha_000162,loc_001,2026-08-10,diarrhea,14
asha_000163,loc_001,2026-08-10,cough,3
asha_000164,loc_001,2026-08-10,rash,1
asha_000165,loc_001,2026-08-11,fever,18
asha_000166,loc_001,2026-08-11,diarrhea,15
asha_000167,loc_001,2026-08-11,cough,1
asha_000168,loc_001,2026-08-11,rash,1
asha_000169,loc_001,2026-08-12,fever,18
asha_000170,loc_001,2026-08-12,diarrhea,15
asha_000171,loc_001,2026-08-12,cough,3
asha_000172,loc_001,2026-08-12,rash,0
asha_000173,loc_001,2026-08-13,fever,21
asha_000174,loc_001,2026-08-13,diarrhea,15
asha_000175,loc_001,2026-08-13,cough,1
asha_000176,loc_001,2026-08-13,rash,2
asha_000177,loc_001,2026-08-14,fever,20
asha_000178,loc_001,2026-08-14,diarrhea,17
asha_000179,loc_001,2026-08-14,cough,2
asha_000180,loc_001,2026-08-14,rash,1
asha_000181,loc_001,2026-08-15,fever,22
asha_000182,loc_001,2026-08-15,diarrhea,13
asha_000183,loc_001,2026-08-15,cough,4
asha_000184,loc_001,2026-08-15,rash,0
asha_000185,loc_001,2026-08-16,fever,26
asha_000186,loc_001,2026-08-16,diarrhea,20
asha_000187,loc_001,2026-08-16,cough,5
asha_000188,loc_001,2026-08-16,rash,1
asha_000189,loc_001,2026-08-17,fever,35
asha_000190,loc_001,2026-08-17,diarrhea,26
asha_000191,loc_001,2026-08-17,cough,3
asha_000192,loc_001,2026-08-17,rash,3
asha_000193,loc_001,2026-08-18,fever,39
asha_000194,loc_001,2026-08-18,diarrhea,32
asha_000195,loc_001,2026-08-18,cough,5
asha_000196,loc_001,2026-08-18,rash,1
asha_000197,loc_001,2026-08-19,fever,46
asha_000198,loc_001,2026-08-19,diarrhea,33
asha_000199,loc_001,2026-08-19,cough,5
asha_000200,loc_001,2026-08-19,rash,0
asha_000201,loc_001,2026-08-20,fever,53
asha_000202,loc_001,2026-08-20,diarrhea,44
asha_000203,loc_001,2026-08-20,cough,3
asha_000204,loc_001,2026-08-20,rash,1
asha_000205,loc_001,2026-08-21,fever,65
asha_000206,loc_001,2026-08-21,diarrhea,48
asha_000207,loc_001,2026-08-21,cough,3
asha_000208,loc_001,2026-08-21,rash,1
asha_000209,loc_001,2026-08-22,fever,70
asha_000210,loc_001,2026-08-22,diarrhea,52
asha_000211,loc_001,2026-08-22,cough,4
asha_000212,loc_001,2026-08-22,rash,0
asha_000213,loc_001,2026-08-23,fever,78
asha_000214,loc_001,2026-08-23,diarrhea,56
asha_000215,loc_001,2026-08-23,cough,4
asha_000216,loc_001,2026-08-23,rash,0
asha_000217,loc_001,2026-08-24,fever,86
asha_000218,loc_001,2026-08-24,diarrhea,64
asha_000219,loc_001,2026-08-24,cough,5
asha_000220,loc_001,2026-08-24,rash,0
asha_000221,loc_001,2026-08-25,fever,88
asha_000222,loc_001,2026-08-25,diarrhea,66
asha_000223,loc_001,2026-08-25,cough,5
asha_000224,loc_001,2026-08-25,rash,1
asha_000225,loc_001,2026-08-26,fever,102
asha_000226,loc_001,2026-08-26,diarrhea,74
asha_000227,loc_001,2026-08-26,cough,3
asha_000228,loc_001,2026-08-26,rash,0
asha_000229,loc_001,2026-08-27,fever,109
asha_000230,loc_001,2026-08-27,diarrhea,81
asha_000231,loc_001,2026-08-27,cough,4
asha_000232,loc_001,2026-08-27,rash,1
asha_000233,loc_001,2026-08-28,fever,110
asha_000234,loc_001,2026-08-28,diarrhea,84
asha_000235,loc_001,2026-08-28,cough,4
asha_000236,loc_001,2026-08-28,rash,0
asha_000237,loc_001,2026-08-29,fever,118
asha_000238,loc_001,2026-08-29,diarrhea,90
asha_000239,loc_001,2026-08-29,cough,5
asha_000240,loc_001,2026-08-29,rash,3
asha_000241,loc_002,2026-07-01,fever,19
asha_000242,loc_002,2026-07-01,diarrhea,17
asha_000243,loc_002,2026-07-01,cough,2
asha_000244,loc_002,2026-07-01,rash,0
asha_000245,loc_002,2026-07-02,fever,19
asha_000246,loc_002,2026-07-02,diarrhea,16
asha_000247,loc_002,2026-07-02,cough,4
asha_000248,loc_002,2026-07-02,rash,0
asha_000249,loc_002,2026-07-03,fever,20
asha_000250,loc_002,2026-07-03,diarrhea,15
asha_000251,loc_002,2026-07-03,cough,3
asha_000252,loc_002,2026-07-03,rash,0
asha_000253,loc_002,2026-07-04,fever,22
asha_000254,loc_002,2026-07-04,diarrhea,17
asha_000255,loc_002,2026-07-04,cough,3
asha_000256,loc_002,2026-07-04,rash,3
asha_000257,loc_002,2026-07-05,fever,21
asha_000258,loc_002,2026-07-05,diarrhea,14
asha_000259,loc_002,2026-07-05,cough,4
asha_000260,loc_002,2026-07-05,rash,0
asha_000261,loc_002,2026-07-06,fever,18
asha_000262,loc_002,2026-07-06,diarrhea,13
asha_000263,loc_002,2026-07-06,cough,2
asha_000264,loc_002,2026-07-06,rash,1
asha_000265,loc_002,2026-07-07,fever,19
asha_000266,loc_002,2026-07-07,diarrhea,17
asha_000267,loc_002,2026-07-07,cough,1
asha_000268,loc_002,2026-07-07,rash,3
asha_000269,loc_002,2026-07-08,fever,20
asha_000270,loc_002,2026-07-08,diarrhea,17
asha_000271,loc_002,2026-07-08,cough,4
asha_000272,loc_002,2026-07-08,rash,0
asha_000273,loc_002,2026-07-09,fever,18
asha_000274,loc_002,2026-07-09,diarrhea,13
asha_000275,loc_002,2026-07-09,cough,4
asha_000276,loc_002,2026-07-09,rash,0
asha_000277,loc_002,2026-07-10,fever,19
asha_000278,loc_002,2026-07-10,diarrhea,13
asha_000279,loc_002,2026-07-10,cough,1
asha_000280,loc_002,2026-07-10,rash,2
asha_000281,loc_002,2026-07-11,fever,18
asha_000282,loc_002,2026-07-11,diarrhea,13
asha_000283,loc_002,2026-07-11,cough,2
asha_000284,loc_002,2026-07-11,rash,0
asha_000285,loc_002,2026-07-12,fever,21
asha_000286,loc_002,2026-07-12,diarrhea,13
asha_000287,loc_002,2026-07-12,cough,5
asha_000288,loc_002,2026-07-12,rash,1
asha_000289,loc_002,2026-07-13,fever,22
asha_000290,loc_002,2026-07-13,diarrhea,16
asha_000291,loc_002,2026-07-13,cough,5
asha_000292,loc_002,2026-07-13,rash,0
asha_000293,loc_002,2026-07-14,fever,18
asha_000294,loc_002,2026-07-14,diarrhea,15
asha_000295,loc_002,2026-07-14,cough,1
asha_000296,loc_002,2026-07-14,rash,2
asha_000297,loc_002,2026-07-15,fever,19
asha_000298,loc_002,2026-07-15,diarrhea,13
asha_000299,loc_002,2026-07-15,cough,1
asha_000300,loc_002,2026-07-15,rash,1
asha_000301,loc_002,2026-07-16,fever,22
asha_000302,loc_002,2026-07-16,diarrhea,17
asha_000303,loc_002,2026-07-16,cough,1
asha_000304,loc_002,2026-07-16,rash,0
asha_000305,loc_002,2026-07-17,fever,22
asha_000306,loc_002,2026-07-17,diarrhea,14
asha_000307,loc_002,2026-07-17,cough,4
asha_000308,loc_002,2026-07-17,rash,3
asha_000309,loc_002,2026-07-18,fever,22
asha_000310,loc_002,2026-07-18,diarrhea,17
asha_000311,loc_002,2026-07-18,cough,5
asha_000312,loc_002,2026-07-18,rash,2
asha_000313,loc_002,2026-07-19,fever,21
asha_000314,loc_002,2026-07-19,diarrhea,15
asha_000315,loc_002,2026-07-19,cough,4
asha_000316,loc_002,2026-07-19,rash,0
asha_000317,loc_002,2026-07-20,fever,21
asha_000318,loc_002,2026-07-20,diarrhea,13
asha_000319,loc_002,2026-07-20,cough,2
asha_000320,loc_002,2026-07-20,rash,0
asha_000321,loc_002,2026-07-21,fever,18
asha_000322,loc_002,2026-07-21,diarrhea,17
asha_000323,loc_002,2026-07-21,cough,5
asha_000324,loc_002,2026-07-21,rash,0
asha_000325,loc_002,2026-07-22,fever,21
asha_000326,loc_002,2026-07-22,diarrhea,17
asha_000327,loc_002,2026-07-22,cough,1
asha_000328,loc_002,2026-07-22,rash,3
asha_000329,loc_002,2026-07-23,fever,19
asha_000330,loc_002,2026-07-23,diarrhea,13
asha_000331,loc_002,2026-07-23,cough,5
asha_000332,loc_002,2026-07-23,rash,0
asha_000333,loc_002,2026-07-24,fever,19
asha_000334,loc_002,2026-07-24,diarrhea,15
asha_000335,loc_002,2026-07-24,cough,4
asha_000336,loc_002,2026-07-24,rash,2
asha_000337,loc_002,2026-07-25,fever,19
asha_000338,loc_002,2026-07-25,diarrhea,17
asha_000339,loc_002,2026-07-25,cough,1
asha_000340,loc_002,2026-07-25,rash,0
asha_000341,loc_002,2026-07-26,fever,19
asha_000342,loc_002,2026-07-26,diarrhea,17
asha_000343,loc_002,2026-07-26,cough,3
asha_000344,loc_002,2026-07-26,rash,1
asha_000345,loc_002,2026-07-27,fever,20
asha_000346,loc_002,2026-07-27,diarrhea,13
asha_000347,loc_002,2026-07-27,cough,1
asha_000348,loc_002,2026-07-27,rash,2
asha_000349,loc_002,2026-07-28,fever,18
asha_000350,loc_002,2026-07-28,diarrhea,16
asha_000351,loc_002,2026-07-28,cough,2
asha_000352,loc_002,2026-07-28,rash,2
asha_000353,loc_002,2026-07-29,fever,22
asha_000354,loc_002,2026-07-29,diarrhea,13
asha_000355,loc_002,2026-07-29,cough,5
asha_000356,loc_002,2026-07-29,rash,3
asha_000357,loc_002,2026-07-30,fever,18
asha_000358,loc_002,2026-07-30,diarrhea,14
asha_000359,loc_002,2026-07-30,cough,5
asha_000360,loc_002,2026-07-30,rash,3
asha_000361,loc_002,2026-07-31,fever,19
asha_000362,loc_002,2026-07-31,diarrhea,17
asha_000363,loc_002,2026-07-31,cough,2
asha_000364,loc_002,2026-07-31,rash,2
asha_000365,loc_002,2026-08-01,fever,19
asha_000366,loc_002,2026-08-01,diarrhea,16
asha_000367,loc_002,2026-08-01,cough,5
asha_000368,loc_002,2026-08-01,rash,0
asha_000369,loc_002,2026-08-02,fever,18
asha_000370,loc_002,2026-08-02,diarrhea,16
asha_000371,loc_002,2026-08-02,cough,3
asha_000372,loc_002,2026-08-02,rash,0
asha_000373,loc_002,2026-08-03,fever,18
asha_000374,loc_002,2026-08-03,diarrhea,14
asha_000375,loc_002,2026-08-03,cough,3
asha_000376,loc_002,2026-08-03,rash,2
asha_000377,loc_002,2026-08-04,fever,22
asha_000378,loc_002,2026-08-04,diarrhea,13
asha_000379,loc_002,2026-08-04,cough,2
asha_000380,loc_002,2026-08-04,rash,0
asha_000381,loc_002,2026-08-05,fever,22
asha_000382,loc_002,2026-08-05,diarrhea,13
asha_000383,loc_002,2026-08-05,cough,3
asha_000384,loc_002,2026-08-05,rash,0
asha_000385,loc_002,2026-08-06,fever,20
asha_000386,loc_002,2026-08-06,diarrhea,17
asha_000387,loc_002,2026-08-06,cough,4
asha_000388,loc_002,2026-08-06,rash,3
asha_000389,loc_002,2026-08-07,fever,18
asha_000390,loc_002,2026-08-07,diarrhea,13
asha_000391,loc_002,2026-08-07,cough,3
asha_000392,loc_002,2026-08-07,rash,0
asha_000393,loc_002,2026-08-08,fever,22
asha_000394,loc_002,2026-08-08,diarrhea,17
asha_000395,loc_002,2026-08-08,cough,3
asha_000396,loc_002,2026-08-08,rash,2
asha_000397,loc_002,2026-08-09,fever,21
asha_000398,loc_002,2026-08-09,diarrhea,13
asha_000399,loc_002,2026-08-09,cough,4
asha_000400,loc_002,2026-08-09,rash,0
asha_000401,loc_002,2026-08-10,fever,22
asha_000402,loc_002,2026-08-10,diarrhea,13
asha_000403,loc_002,2026-08-10,cough,1
asha_000404,loc_002,2026-08-10,rash,0
asha_000405,loc_002,2026-08-11,fever,20
asha_000406,loc_002,2026-08-11,diarrhea,14
asha_000407,loc_002,2026-08-11,cough,5
asha_000408,loc_002,2026-08-11,rash,1
asha_000409,loc_002,2026-08-12,fever,20
asha_000410,loc_002,2026-08-12,diarrhea,17
asha_000411,loc_002,2026-08-12,cough,3
asha_000412,loc_002,2026-08-12,rash,0
asha_000413,loc_002,2026-08-13,fever,21
asha_000414,loc_002,2026-08-13,diarrhea,14
asha_000415,loc_002,2026-08-13,cough,5
asha_000416,loc_002,2026-08-13,rash,0
asha_000417,loc_002,2026-08-14,fever,18
asha_000418,loc_002,2026-08-14,diarrhea,17
asha_000419,loc_002,2026-08-14,cough,4
asha_000420,loc_002,2026-08-14,rash,0
asha_000421,loc_002,2026-08-15,fever,22
asha_000422,loc_002,2026-08-15,diarrhea,13
asha_000423,loc_002,2026-08-15,cough,5
asha_000424,loc_002,2026-08-15,rash,0
asha_000425,loc_002,2026-08-16,fever,26
asha_000426,loc_002,2026-08-16,diarrhea,17
asha_000427,loc_002,2026-08-16,cough,5
asha_000428,loc_002,2026-08-16,rash,0
asha_000429,loc_002,2026-08-17,fever,36
asha_000430,loc_002,2026-08-17,diarrhea,29
asha_000431,loc_002,2026-08-17,cough,5
asha_000432,loc_002,2026-08-17,rash,3
asha_000433,loc_002,2026-08-18,fever,42
asha_000434,loc_002,2026-08-18,diarrhea,28
asha_000435,loc_002,2026-08-18,cough,1
asha_000436,loc_002,2026-08-18,rash,3
asha_000437,loc_002,2026-08-19,fever,47
asha_000438,loc_002,2026-08-19,diarrhea,35
asha_000439,loc_002,2026-08-19,cough,1
asha_000440,loc_002,2026-08-19,rash,1
asha_000441,loc_002,2026-08-20,fever,55
asha_000442,loc_002,2026-08-20,diarrhea,43
asha_000443,loc_002,2026-08-20,cough,2
asha_000444,loc_002,2026-08-20,rash,3
asha_000445,loc_002,2026-08-21,fever,61
asha_000446,loc_002,2026-08-21,diarrhea,44
asha_000447,loc_002,2026-08-21,cough,5
asha_000448,loc_002,2026-08-21,rash,0
asha_000449,loc_002,2026-08-22,fever,73
asha_000450,loc_002,2026-08-22,diarrhea,50
asha_000451,loc_002,2026-08-22,cough,2
asha_000452,loc_002,2026-08-22,rash,1
asha_000453,loc_002,2026-08-23,fever,77
asha_000454,loc_002,2026-08-23,diarrhea,56
asha_000455,loc_002,2026-08-23,cough,1
asha_000456,loc_002,2026-08-23,rash,1
asha_000457,loc_002,2026-08-24,fever,83
asha_000458,loc_002,2026-08-24,diarrhea,65
asha_000459,loc_002,2026-08-24,cough,5
asha_000460,loc_002,2026-08-24,rash,3
asha_000461,loc_002,2026-08-25,fever,90
asha_000462,loc_002,2026-08-25,diarrhea,67
asha_000463,loc_002,2026-08-25,cough,5
asha_000464,loc_002,2026-08-25,rash,1
asha_000465,loc_002,2026-08-26,fever,99
asha_000466,loc_002,2026-08-26,diarrhea,77
asha_000467,loc_002,2026-08-26,cough,4
asha_000468,loc_002,2026-08-26,rash,0
asha_000469,loc_002,2026-08-27,fever,108
asha_000470,loc_002,2026-08-27,diarrhea,82
asha_000471,loc_002,2026-08-27,cough,4
asha_000472,loc_002,2026-08-27,rash,3
asha_000473,loc_002,2026-08-28,fever,110
asha_000474,loc_002,2026-08-28,diarrhea,87
asha_000475,loc_002,2026-08-28,cough,5
asha_000476,loc_002,2026-08-28,rash,3
asha_000477,loc_002,2026-08-29,fever,119
asha_000478,loc_002,2026-08-29,diarrhea,92
asha_000479,loc_002,2026-08-29,cough,2
asha_000480,loc_002,2026-08-29,rash,2
asha_000481,loc_003,2026-07-01,fever,21
asha_000482,loc_003,2026-07-01,diarrhea,15
asha_000483,loc_003,2026-07-01,cough,2
asha_000484,loc_003,2026-07-01,rash,1
asha_000485,loc_003,2026-07-02,fever,21
asha_000486,loc_003,2026-07-02,diarrhea,16
asha_000487,loc_003,2026-07-02,cough,5
asha_000488,loc_003,2026-07-02,rash,0
asha_000489,loc_003,2026-07-03,fever,19
asha_000490,loc_003,2026-07-03,diarrhea,16
asha_000491,loc_003,2026-07-03,cough,2
asha_000492,loc_003,2026-07-03,rash,1
asha_000493,loc_003,2026-07-04,fever,21
asha_000494,loc_003,2026-07-04,diarrhea,16
asha_000495,loc_003,2026-07-04,cough,1
asha_000496,loc_003,2026-07-04,rash,0
asha_000497,loc_003,2026-07-05,fever,21
asha_000498,loc_003,2026-07-05,diarrhea,15
asha_000499,loc_003,2026-07-05,cough,2
asha_000500,loc_003,2026-07-05,rash,1
asha_000501,loc_003,2026-07-06,fever,18
asha_000502,loc_003,2026-07-06,diarrhea,14
asha_000503,loc_003,2026-07-06,cough,2
asha_000504,loc_003,2026-07-06,rash,2
asha_000505,loc_003,2026-07-07,fever,22
asha_000506,loc_003,2026-07-07,diarrhea,17
asha_000507,loc_003,2026-07-07,cough,4
asha_000508,loc_003,2026-07-07,rash,0
asha_000509,loc_003,2026-07-08,fever,18
asha_000510,loc_003,2026-07-08,diarrhea,14
asha_000511,loc_003,2026-07-08,cough,5
asha_000512,loc_003,2026-07-08,rash,0
asha_000513,loc_003,2026-07-09,fever,20
asha_000514,loc_003,2026-07-09,diarrhea,17
asha_000515,loc_003,2026-07-09,cough,2
asha_000516,loc_003,2026-07-09,rash,0
asha_000517,loc_003,2026-07-10,fever,22
asha_000518,loc_003,2026-07-10,diarrhea,15
asha_000519,loc_003,2026-07-10,cough,1
asha_000520,loc_003,2026-07-10,rash,1
asha_000521,loc_003,2026-07-11,fever,21
asha_000522,loc_003,2026-07-11,diarrhea,17
asha_000523,loc_003,2026-07-11,cough,3
asha_000524,loc_003,2026-07-11,rash,2
asha_000525,loc_003,2026-07-12,fever,21
asha_000526,loc_003,2026-07-12,diarrhea,13
asha_000527,loc_003,2026-07-12,cough,5
asha_000528,loc_003,2026-07-12,rash,0
asha_000529,loc_003,2026-07-13,fever,20
asha_000530,loc_003,2026-07-13,diarrhea,17
asha_000531,loc_003,2026-07-13,cough,2
asha_000532,loc_003,2026-07-13,rash,2
asha_000533,loc_003,2026-07-14,fever,19
asha_000534,loc_003,2026-07-14,diarrhea,14
asha_000535,loc_003,2026-07-14,cough,4
asha_000536,loc_003,2026-07-14,rash,3
asha_000537,loc_003,2026-07-15,fever,21
asha_000538,loc_003,2026-07-15,diarrhea,17
asha_000539,loc_003,2026-07-15,cough,5
asha_000540,loc_003,2026-07-15,rash,0
asha_000541,loc_003,2026-07-16,fever,18
asha_000542,loc_003,2026-07-16,diarrhea,17
asha_000543,loc_003,2026-07-16,cough,3
asha_000544,loc_003,2026-07-16,rash,2
asha_000545,loc_003,2026-07-17,fever,18
asha_000546,loc_003,2026-07-17,diarrhea,17
asha_000547,loc_003,2026-07-17,cough,2
asha_000548,loc_003,2026-07-17,rash,0
asha_000549,loc_003,2026-07-18,fever,20
asha_000550,loc_003,2026-07-18,diarrhea,15
asha_000551,loc_003,2026-07-18,cough,5
asha_000552,loc_003,2026-07-18,rash,2
asha_000553,loc_003,2026-07-19,fever,22
asha_000554,loc_003,2026-07-19,diarrhea,15
asha_000555,loc_003,2026-07-19,cough,5
asha_000556,loc_003,2026-07-19,rash,2
asha_000557,loc_003,2026-07-20,fever,19
asha_000558,loc_003,2026-07-20,diarrhea,17
asha_000559,loc_003,2026-07-20,cough,4
asha_000560,loc_003,2026-07-20,rash,0
asha_000561,loc_003,2026-07-21,fever,19
asha_000562,loc_003,2026-07-21,diarrhea,16
asha_000563,loc_003,2026-07-21,cough,5
asha_000564,loc_003,2026-07-21,rash,1
asha_000565,loc_003,2026-07-22,fever,22
asha_000566,loc_003,2026-07-22,diarrhea,13
asha_000567,loc_003,2026-07-22,cough,4
asha_000568,loc_003,2026-07-22,rash,0
asha_000569,loc_003,2026-07-23,fever,19
asha_000570,loc_003,2026-07-23,diarrhea,15
asha_000571,loc_003,2026-07-23,cough,2
asha_000572,loc_003,2026-07-23,rash,0
asha_000573,loc_003,2026-07-24,fever,21
asha_000574,loc_003,2026-07-24,diarrhea,13
asha_000575,loc_003,2026-07-24,cough,3
asha_000576,loc_003,2026-07-24,rash,0
asha_000577,loc_003,2026-07-25,fever,19
asha_000578,loc_003,2026-07-25,diarrhea,13
asha_000579,loc_003,2026-07-25,cough,5
asha_000580,loc_003,2026-07-25,rash,2
asha_000581,loc_003,2026-07-26,fever,20
asha_000582,loc_003,2026-07-26,diarrhea,16
asha_000583,loc_003,2026-07-26,cough,2
asha_000584,loc_003,2026-07-26,rash,1
asha_000585,loc_003,2026-07-27,fever,19
asha_000586,loc_003,2026-07-27,diarrhea,17
asha_000587,loc_003,2026-07-27,cough,5
